,자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
521,강남구,2020,12,36.29,35000,964
522,강남구,2020,12,36.29,35000,964
523,강남구,2020,12,36.29,35800,986
524,강남구,2020,6,244.2,215000,880
525,강남구,2020,10,242.57,203000,836
526,강남구,2020,10,78.54,74000,942
527,강남구,2020,5,45.04,33500,743
528,강남구,2020,6,39.6,31700,800
529,강남구,2020,6,44.29,33500,756
530,강남구,2020,1,203.17,240000,1181
531,강남구,2020,1,84.52,144000,1703
532,강남구,2020,1,114.34,165000,1443
533,강남구,2020,1,35.73,80000,2239
534,강남구,2020,2,35.73,80000,2239
535,강남구,2020,2,114.34,172000,1504
536,강남구,2020,5,35.73,80000,2239
537,강남구,2020,5,35.73,80000,2239
538,강남구,2020,6,35.73,85000,2378
539,강남구,2020,6,35.73,79999,2238
540,강남구,2020,6,35.73,84500,2364
541,강남구,2020,6,35.73,79000,2211
542,강남구,2020,6,84.52,149500,1768
543,강남구,2020,6,35.73,81500,2280
544,강남구,2020,6,35.73,81000,2267
545,강남구,2020,6,84.52,146000,1727
546,강남구,2020,6,35.73,84000,2350
547,강남구,2020,6,35.73,86800,2429
548,강남구,2020,6,35.73,87000,2434
549,강남구,2020,7,84.52,147000,1739
550,강남구,2020,7,35.73,84000,2350
551,강남구,2020,8,114.34,175000,1530
552,강남구,2020,8,84.52,151500,1792
553,강남구,2020,9,84.52,149500,1768
554,강남구,2020,9,35.73,88000,2462
555,강남구,2020,9,84.52,144000,1703
556,강남구,2020,9,35.73,85000,2378
557,강남구,2020,10,35.73,84500,2364
558,강남구,2020,10,114.34,185000,1617
559,강남구,2020,10,35.73,90000,2518
560,강남구,2020,10,35.73,90000,2518
561,강남구,2020,11,35.73,88500,2476
562,강남구,2020,12,84.52,160000,1893
563,강남구,2020,12,35.73,91500,2560
564,강남구,2020,12,35.73,91000,2546
565,강남구,2020,2,59.91,89900,1500
566,강남구,2020,2,59.91,91000,1518
567,강남구,2020,3,84.87,74000,871
568,강남구,2020,6,84.87,119500,1408
569,강남구,2020,7,84.87,121000,1425
570,강남구,2020,7,84.87,115000,1355
571,강남구,2020,9,59.91,96000,1602
572,강남구,2020,2,113.231,228000,2013
573,강남구,2020,4,84.208,157000,1864
574,강남구,2020,4,113.087,203000,1795
575,강남구,2020,5,113.231,214000,1889
576,강남구,2020,5,84.074,192000,2283
577,강남구,2020,8,113.231,238000,2101
578,강남구,2020,10,113.087,253000,2237
