,NODE_ID,NODE_NM,NODE_TP,CENTER_YN,ADMIN_NM,REMARK,NODE_CL,NODE_SUB_TP,NODE_ENM,위도,경도,CITY_CD,DISTRICT_ID,COLLECTD_TIME,ORG_ID,ADMIN_ID,OFFSET,DIRECTION,DOWNTOWN_YN,NODE_MOBILE_ID,CITY_CODE,도시명,gu
187,SEB122000227,한티역7번출구,,,,,,,,37.495722,127.05194,,,2020-09-24 07:32:12,,,,,,23331.0,11,서울특별시,강남구
188,SEB122000132,은마아파트,,,,,,,,37.4994452,127.0632605,,,2020-09-24 07:32:12,,,,,,23235.0,11,서울특별시,강남구
189,SEB123000092,석촌동한솔아파트,,,,,,,,37.5042096,127.1056981,,,2020-09-24 07:32:12,,,,,,24181.0,11,서울특별시,송파구
190,SEB123000105,송파여성문화회관,,,,,,,,37.5066731,127.109743,,,2020-09-24 07:32:12,,,,,,24194.0,11,서울특별시,송파구
191,SEB123000143,풍납동극동.쌍용아파트,,,,,,,,37.526705,127.1186065,,,2020-09-24 07:32:12,,,,,,24232.0,11,서울특별시,송파구
192,SEB207000270,경기도립의료원의정부병원,,,,,,,,37.7416744,127.0419016,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,의정부시
193,SEB109000394,거성학마을아파트,,,,,,,,37.666255,127.0378894,,,2020-09-24 07:32:12,,,,,,10617.0,11,서울특별시,도봉구
194,SEB207000333,우정마을,,,,,,,,37.7660682,127.0410295,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,의정부시
195,SEB235000270,어둔동고개,,,,,,,,37.7831369,127.0067929,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,양주시
196,SEB235000266,동화세아아파트,,,,,,,,37.7860857,126.984062,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,양주시
197,SEB235000265,창조교회,,,,,,,,37.7843188,126.9791238,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,양주시
198,SEB236000516,설운3통.여단앞,,,,,,,,37.845005,127.1589735,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,포천시
199,SEB236000578,이동교5리.축석검문소,,,,,,,,37.7784351,127.1152045,,,2020-09-24 07:32:12,,,,,,0.0,11,서울특별시,포천시
