,정류소ID,ARS-ID,정류소명,X좌표,Y좌표,gu
154,100000369,1295,안국역.종로경찰서.서울공예박물관,126.9847683,37.57640118,종로구
155,100000413,1297,남인사마당,126.9874286,37.57131917,종로구
156,100900047,1500,평창파출소,126.9668167,37.60568122,종로구
157,100900178,1501,삼청공원,126.9816469,37.58822768,종로구
158,100900041,1502,수성동계곡,126.9642468,37.58207916,종로구
159,100900040,1503,명륜3가종점,126.9928637,37.59094838,종로구
160,100900197,1504,명륜새마을금고,126.9967049,37.58765327,종로구
161,100900044,1505,서대문3번출구,126.9662183,37.56641607,종로구
162,100900039,1506,낙산공원,127.0087216,37.58040372,종로구
163,100900037,1507,인사미술공간.세탁소,126.9893671,37.58141098,종로구
164,100900036,1508,화정박물관,126.9648837,37.6048012,종로구
165,100900035,1509,금융연수원,126.9815692,37.5865985,종로구
166,100900034,1510,박노수미술관,126.9666035,37.58099674,종로구
167,100900032,1511,샘미용실,126.9932227,37.59030953,종로구
168,100900031,1512,서울국제고등학교,126.9972903,37.58907159,종로구
169,100900029,1513,화정박물관,126.9652008,37.60498061,종로구
170,100900188,1514,적십자병원후문앞,126.9652273,37.56752954,종로구
171,100900202,1515,서울성곽.성대후문,126.9896321,37.5892577,종로구
172,100900026,1516,빨래터.고희동미술관,126.9889728,37.58310083,종로구
173,100900025,1517,세검초등학교,126.9614908,37.60425228,종로구
174,100900024,1518,삼청동주민센터,126.9819072,37.58426383,종로구
175,100900020,1519,통인시장,126.9687504,37.58045307,종로구
176,100900021,1520,양현관,126.9936044,37.58979142,종로구
177,100900017,1521,국민생활관,126.998862,37.58974563,종로구
178,100900016,1522,오거리,126.9622629,37.60706212,종로구
179,100900015,1523,경희궁자이2.3단지,126.9640686,37.56878711,종로구
180,100900013,1524,창신쌍용2단지.한성대후문,127.0127581,37.5812648,종로구
181,100900045,1525,통일부,126.9859477,37.58759481,종로구
182,100900011,1526,원서고개,126.9878088,37.58308055,종로구
183,100900009,1528,종로5가입구.혜화경찰서,126.9975411,37.57174724,종로구
184,100900007,1529,삼청파출소,126.981251,37.58181366,종로구
185,100900005,1530,오거리.한옥마을입구,126.9695411,37.57949632,종로구
186,100900046,1531,명륜시장.성대후문,126.9952543,37.58851105,종로구
187,100900003,1532,혜화초등학교,126.9998517,37.58725323,종로구
188,100900072,1533,청련사입구,126.9624312,37.60798038,종로구
189,100900071,1534,영천시장,126.9628352,37.57000501,종로구
190,100900070,1535,명신초.삼선푸르지오.힐스테이트,127.0145563,37.58210621,종로구
191,100900069,1536,감사원,126.9852901,37.58621065,종로구
192,100900068,1537,중앙중고,126.9869653,37.58309218,종로구
193,100900067,1538,인왕빌딩,126.9577443,37.60792833,종로구
194,100900066,1539,종로4가.종묘공원,126.9944624,37.57063281,종로구
195,100900174,1540,국립민속박물관,126.9795534,37.57925518,종로구
196,100900065,1541,광화문새마을금고,126.9711466,37.57936877,종로구
197,100900064,1542,새마을금고,126.9965181,37.58773706,종로구
198,100900063,1543,혜화우체국,127.0006137,37.58603766,종로구
199,100900062,1544,언덕앞,126.9637922,37.60895398,종로구
200,100900061,1545,경희궁자이4단지,126.9621148,37.57070222,종로구
201,100900060,1546,종로센트레빌후문.e편한세상보문아파트,127.0161855,37.58177439,종로구
202,100900059,1547,사우디대사관앞.경남빌라,126.9850312,37.58410567,종로구
203,100900058,1548,안국선원.삼거리,126.9849941,37.58279098,종로구
204,100900182,1549,구기터널입구,126.9567769,37.60820461,종로구
205,100900057,1550,종로3가.1.3.5호선,126.9921807,37.57107299,종로구
206,100900056,1551,경복궁,126.9793378,37.57695016,종로구
207,100900054,1553,소나무집,126.9641105,37.61127707,종로구
208,100900186,1554,독립문역3번출구,126.9597453,37.57287848,종로구
209,100900053,1555,청룡사.보문파크뷰자이아파트,127.0170071,37.58001895,종로구
210,100900052,1556,북촌한옥마을입구.정세권활동터,126.9849422,37.58159973,종로구
211,100900217,1557,종로1.2.3.4가동주민센터,126.9911314,37.57438371,종로구
212,100900051,1558,창덕궁,126.99062,37.57608925,종로구
213,100900050,1561,아름다운실버,126.9654637,37.61201006,종로구
214,100900049,1562,독립문초등학교,126.9607207,37.57384748,종로구
215,100900206,1563,종로센트레빌아파트,127.0156927,37.58035344,종로구
216,100900048,1564,가회동주민센터,126.9848497,37.57993901,종로구
217,100900097,1565,구기빌라,126.9579797,37.60626861,종로구
218,100900096,1566,원남로터리,126.9975115,37.57623737,종로구
219,100900095,1567,보현산신각,126.9657791,37.61348252,종로구
220,100900094,1568,천사유치원,126.9618604,37.57464802,종로구
221,100900093,1569,쌍용아파트입구.창신역,127.0149636,37.58051123,종로구
222,100900092,1570,아름다운가게.정독도서관,126.985022,37.57889917,종로구
223,100900091,1571,산정빌라,126.9574922,37.60515199,종로구
224,100900090,1572,이화사거리,127.0020107,37.57646986,종로구
225,100900089,1573,박종화고택입구,126.9676873,37.61431026,종로구
226,100900088,1574,무악현대아파트후문,126.962001,37.57630608,종로구
227,100900086,1576,헌법재판소.안국역,126.9856756,37.57755843,종로구
228,100900184,1577,청구빌라,126.956984,37.60461026,종로구
229,100900085,1578,서울대어린이병원응급실.갑상선센터,126.999503,37.57811888,종로구
230,100900083,1580,화인빌라,126.9685386,37.61293453,종로구
231,100900082,1581,넓은마당,126.962888,37.57527281,종로구
232,100900207,1582,창신초등학교,127.0153886,37.5769032,종로구
233,100900081,1583,수운회관,126.9865172,37.57515983,종로구
234,100900080,1584,상명대후문,126.9573354,37.60402558,종로구
235,100900079,1586,힐탑,126.9690206,37.61160556,종로구
236,100900187,1587,신학대학교총회본부,126.9634446,37.57397631,종로구
237,100900078,1589,낙원상가,126.9872919,37.57367762,종로구
238,100900077,1590,완성빌라,126.9575011,37.60340209,종로구
239,100900076,1591,서울대병원장례식장,126.997431,37.5805554,종로구
240,100900075,1592,혜화역1번출구,127.0019407,37.58345422,종로구
241,100900074,1593,감나무골공원,126.9699479,37.61240596,종로구
242,100900073,1594,한국사회과학자료원,126.9641433,37.57363321,종로구
243,100900205,1595,동묘역,127.0142454,37.57269435,종로구
244,100900121,1596,금강제화,126.9874384,37.57054454,종로구
245,100900120,1597,경진빌라,126.9578304,37.60200372,종로구
246,100900198,1598,성균관대학교앞,126.9993359,37.58325978,종로구
247,100900119,1607,EN갤러리,126.9707008,37.61340635,종로구
248,100900118,1667,종로문화센터,126.9646262,37.57464708,종로구
249,100900117,1682,동대문역.2번출구,127.0117218,37.57204945,종로구
250,100900116,1683,종각역YMCA,126.9850715,37.57033935,종로구
251,100900115,1684,서교빌라,126.9571554,37.60198906,종로구
