,정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명,gu
11411,SEB106000199,지하철6호선화랑대역,,,,37.6198388,127.0856014,2021/09/16 07:31:03,7294.0,11,서울특별시,중랑구
11412,SEB110000068,용원초등학교,,,,37.6287436,127.0686258,2021/09/16 07:31:03,11168.0,11,서울특별시,노원구
11413,SEB204000110,가천대역.가천대학교,,,,37.4496846,127.1264202,2021/09/16 07:31:03,48069.0,11,서울특별시,성남시 수정구
11414,SEB107000017,국민대앞,,,,37.6106795,126.9940273,2021/09/16 07:31:03,8107.0,11,서울특별시,성북구
11415,SEB121900141,성지마을입구,,,,37.4738714,126.9922654,2021/09/16 07:31:03,22907.0,11,서울특별시,서초구
11416,SEB225000132,신환아파트,,,,37.3618676,126.9406587,2021/09/16 07:31:03,40088.0,11,서울특별시,군포시
11417,SEB119900293,흑석한강푸르지오,,,,37.5051206,126.9659247,2021/09/16 07:31:03,20969.0,11,서울특별시,동작구
11418,SEB229001660,용암사.용미리마애이불입상,,,,37.7528318,126.8635978,2021/09/16 07:31:03,63250.0,11,서울특별시,파주시
11419,SEB213000435,철산2동주민센터(마을),,,,37.4856529,126.8658822,2021/09/16 07:31:03,38535.0,11,서울특별시,광명시
11420,SEB118000117,양평1동주민센터,,,,37.5225662,126.8887775,2021/09/16 07:31:03,19202.0,11,서울특별시,영등포구
11421,SEB104000296,새밭교회,,,,37.5489183,127.0934985,2021/09/16 07:31:03,5009.0,11,서울특별시,광진구
11422,SEB122000222,우성캐릭터빌아파트,,,,37.4870096,127.0508009,2021/09/16 07:31:03,23326.0,11,서울특별시,강남구
11423,SEB116900167,양우아파트,,,,37.5048176,126.8557648,2021/09/16 07:31:03,17901.0,11,서울특별시,구로구
11424,SEB114000258,대일관광고.푸른마을3단지,,,,37.5110757,126.8363632,2021/09/16 07:31:03,15363.0,11,서울특별시,양천구
11425,SEB118000597,래미안에스티움,,,,37.500203,126.9128846,2021/09/16 07:31:03,19304.0,11,서울특별시,영등포구
11426,SEB111000928,연신내역.연서시장,,,,37.6183598,126.9218398,2021/09/16 07:31:03,12017.0,11,서울특별시,은평구
11427,SEB111000099,불광지구대,,,,37.6217745,126.9267891,2021/09/16 07:31:03,12187.0,11,서울특별시,은평구
11428,SEB122000215,뱅뱅사거리.구영동중학교,,,,37.4877243,127.0328076,2021/09/16 07:31:03,23319.0,11,서울특별시,강남구
11429,SEB109900164,신방학중학교앞,,,,37.6634142,127.0276788,2021/09/16 07:31:03,10172.0,11,서울특별시,도봉구
11430,SEB123000363,장지동주민센터.송파파인타운1단지,,,,37.486505,127.132993,2021/09/16 07:31:03,24455.0,11,서울특별시,송파구
11431,SEB213000233,광명돔경륜장,,,,37.46631,126.8470616,2021/09/16 07:31:03,38057.0,11,서울특별시,광명시
11432,SEB117000919,삼화약국,,,,37.4500039,126.903455,2021/09/16 07:31:03,18235.0,11,서울특별시,금천구
11433,SEB106000325,먹골역,,,,37.6089365,127.0778546,2021/09/16 07:31:03,7425.0,11,서울특별시,중랑구
11434,SEB107900037,그린빌라,,,,37.6038644,127.008244,2021/09/16 07:31:03,8517.0,11,서울특별시,성북구
11435,SEB209000026,현대.대림아파트,,,,37.3627475,126.9612411,2021/09/16 07:31:03,40019.0,11,서울특별시,안양시 동안구
11436,SEB121900123,서초역2번출구,,,,37.4912987,127.0081468,2021/09/16 07:31:03,22579.0,11,서울특별시,서초구
11437,SEB121000204,우면주공아파트.양재1동주민센터,,,,37.4706473,127.0259375,2021/09/16 07:31:03,22280.0,11,서울특별시,서초구
11438,SEB107000059,성가복지병원,,,,37.6057447,127.0315874,2021/09/16 07:31:03,8149.0,11,서울특별시,성북구
