,계약연월,자치구별,CoffeeShop
584,2018-12,성북구,433
585,2018-12,동대문구,395
586,2018-12,용산구,391
587,2018-12,중랑구,247
588,2018-12,강북구,211
589,2018-12,동작구,416
590,2018-12,은평구,387
591,2018-12,강서구,748
592,2018-12,강동구,416
593,2018-12,도봉구,229
594,2018-12,금천구,324
595,2018-12,양천구,357
596,2018-12,관악구,479
597,2018-12,노원구,433
598,2018-12,성동구,344
599,2018-12,광진구,374
600,2019-1,구로구,408
601,2019-1,서초구,958
602,2019-1,영등포구,827
603,2019-1,서대문구,524
604,2019-1,강남구,1789
605,2019-1,중구,1122
606,2019-1,송파구,453
607,2019-1,종로구,906
608,2019-1,마포구,871
609,2019-1,성북구,444
610,2019-1,동대문구,405
611,2019-1,용산구,417
612,2019-1,중랑구,290
613,2019-1,강북구,217
614,2019-1,동작구,444
615,2019-1,은평구,374
616,2019-1,강서구,827
617,2019-1,강동구,460
618,2019-1,도봉구,247
619,2019-1,금천구,340
620,2019-1,양천구,380
621,2019-1,관악구,527
622,2019-1,노원구,472
623,2019-1,성동구,364
624,2019-1,광진구,437
625,2019-2,구로구,414
626,2019-2,서초구,967
627,2019-2,영등포구,843
628,2019-2,서대문구,524
629,2019-2,강남구,1793
630,2019-2,중구,1135
631,2019-2,송파구,476
632,2019-2,종로구,895
633,2019-2,마포구,851
634,2019-2,성북구,453
635,2019-2,동대문구,408
636,2019-2,용산구,420
637,2019-2,중랑구,295
638,2019-2,강북구,219
639,2019-2,동작구,438
640,2019-2,은평구,367
641,2019-2,강서구,838
642,2019-2,강동구,470
643,2019-2,도봉구,249
644,2019-2,금천구,337
645,2019-2,양천구,391
646,2019-2,관악구,527
647,2019-2,노원구,472
648,2019-2,성동구,383
649,2019-2,광진구,443
650,2019-3,구로구,414
651,2019-3,서초구,967
652,2019-3,영등포구,843
653,2019-3,서대문구,524
654,2019-3,강남구,1793
655,2019-3,중구,1135
656,2019-3,송파구,476
657,2019-3,종로구,895
658,2019-3,마포구,851
659,2019-3,성북구,453
660,2019-3,동대문구,408
661,2019-3,용산구,420
662,2019-3,중랑구,295
663,2019-3,강북구,219
664,2019-3,동작구,438
665,2019-3,은평구,367
666,2019-3,강서구,838
667,2019-3,강동구,470
668,2019-3,도봉구,249
669,2019-3,금천구,337
670,2019-3,양천구,391
671,2019-3,관악구,527
672,2019-3,노원구,472
673,2019-3,성동구,383
674,2019-3,광진구,443
675,2019-4,구로구,414
676,2019-4,서초구,967
677,2019-4,영등포구,843
678,2019-4,서대문구,524
679,2019-4,강남구,1793
680,2019-4,중구,1135
681,2019-4,송파구,476
682,2019-4,종로구,895
683,2019-4,마포구,851
684,2019-4,성북구,453
685,2019-4,동대문구,408
686,2019-4,용산구,420
687,2019-4,중랑구,295
688,2019-4,강북구,219
689,2019-4,동작구,438
690,2019-4,은평구,367
691,2019-4,강서구,838
692,2019-4,강동구,470
693,2019-4,도봉구,249
694,2019-4,금천구,337
695,2019-4,양천구,391
696,2019-4,관악구,527
697,2019-4,노원구,472
698,2019-4,성동구,383
699,2019-4,광진구,443
700,2019-5,구로구,414
701,2019-5,서초구,967
702,2019-5,영등포구,843
703,2019-5,서대문구,524
704,2019-5,강남구,1793
705,2019-5,중구,1135
706,2019-5,송파구,476
707,2019-5,종로구,895
708,2019-5,마포구,851
709,2019-5,성북구,453
710,2019-5,동대문구,408
711,2019-5,용산구,420
712,2019-5,중랑구,295
713,2019-5,강북구,219
714,2019-5,동작구,438
715,2019-5,은평구,367
716,2019-5,강서구,838
717,2019-5,강동구,470
718,2019-5,도봉구,249
719,2019-5,금천구,337
720,2019-5,양천구,391
721,2019-5,관악구,527
722,2019-5,노원구,472
723,2019-5,성동구,383
724,2019-5,광진구,443
725,2019-6,구로구,414
726,2019-6,서초구,967
727,2019-6,영등포구,843
728,2019-6,서대문구,524
729,2019-6,강남구,1793
730,2019-6,중구,1135
731,2019-6,송파구,476
732,2019-6,종로구,895
733,2019-6,마포구,851
734,2019-6,성북구,453
735,2019-6,동대문구,408
736,2019-6,용산구,420
737,2019-6,중랑구,295
738,2019-6,강북구,219
739,2019-6,동작구,438
740,2019-6,은평구,367
741,2019-6,강서구,838
742,2019-6,강동구,470
743,2019-6,도봉구,249
744,2019-6,금천구,337
745,2019-6,양천구,391
746,2019-6,관악구,527
747,2019-6,노원구,472
748,2019-6,성동구,383
749,2019-6,광진구,443
750,2019-7,구로구,414
751,2019-7,서초구,967
752,2019-7,영등포구,843
753,2019-7,서대문구,524
754,2019-7,강남구,1793
755,2019-7,중구,1135
756,2019-7,송파구,476
757,2019-7,종로구,895
758,2019-7,마포구,851
759,2019-7,성북구,453
