자치구별,계약월,계약연도,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
종로구,4,2020.0,65.0,29707.0,412.0
종로구,5,2020.0,62.0,28657.0,433.0
종로구,6,2020.0,60.0,31089.0,450.0
종로구,7,2020.0,60.0,33123.0,540.0
종로구,8,2020.0,65.0,35867.0,512.0
종로구,9,2020.0,56.0,27227.0,435.0
종로구,10,2020.0,69.0,38276.0,500.0
종로구,11,2020.0,69.0,40033.0,519.0
종로구,12,2020.0,75.0,42180.0,544.0
중구,1,2020.0,67.0,37039.0,553.0
중구,2,2020.0,71.0,36336.0,509.0
중구,3,2020.0,71.0,36619.0,529.0
중구,4,2020.0,64.0,32943.0,489.0
중구,5,2020.0,65.0,33382.0,509.0
중구,6,2020.0,68.0,39613.0,613.0
중구,7,2020.0,62.0,32765.0,508.0
중구,8,2020.0,64.0,36206.0,560.0
중구,9,2020.0,61.0,34817.0,563.0
중구,10,2020.0,70.0,38916.0,560.0
중구,11,2020.0,65.0,39398.0,615.0
중구,12,2020.0,66.0,38052.0,595.0
중랑구,1,2020.0,61.0,24346.0,400.0
중랑구,2,2020.0,62.0,20484.0,313.0
중랑구,3,2020.0,63.0,20286.0,321.0
중랑구,4,2020.0,63.0,23171.0,353.0
중랑구,5,2020.0,57.0,24315.0,449.0
중랑구,6,2020.0,67.0,29776.0,444.0
중랑구,7,2020.0,66.0,27555.0,426.0
중랑구,8,2020.0,60.0,20599.0,338.0
중랑구,9,2020.0,53.0,23244.0,512.0
중랑구,10,2020.0,59.0,25615.0,472.0
중랑구,11,2020.0,49.0,17911.0,319.0
중랑구,12,2020.0,62.0,27039.0,421.0
